NomFAS,Risk,Situation,PreventiveMeasure
Lawn tractor,"Contact with moving parts (blades, belts, etc.)",Changing tooling on equipment,Use equipment only if it has guards or safety devices
Lawn tractor,"Contact with moving parts (blades, belts, etc.)",Changing tooling on equipment,Keep feet and hands away from the frame and the moving parts of the lawn tractor
Lawn tractor,Flying objects,Using the lawn tractor,"Keep the grass chute away from people, animals and buildings"
Lawn tractor,Exertion,Moving the tractor without the engine force,"Use a mechanical aid (e.g., forklift, pallet jack, etc.)"
Lawn tractor,Heat exposure,Working outdoors,Wear clothing appropriate for the weather conditions
Lawn tractor,Rollover,Using the lawn tractor,Make sure that the tractor is equipped with an anti-rollover structure if the engine power exceeds 15 kilowatts (20 horsepower)
Lawn tractor,Rollover,Using the lawn tractor,Check the general condition of the parts and safety devices
Lawn tractor,Rollover,Using the lawn tractor,Wear the seat belt
Lawn tractor,"Contact with moving parts (blades, belts, etc.)",Breakage or malfunction,Apply the de-energizing and lockout procedures
Lawn tractor,General risks,Completing the task,Train workers on tasks and risks
Lawn tractor,General risks,Completing the task,Comply with applicable safety measures
Lawn tractor,Noise exposure,Using the lawn tractor,Wear hearing protectors
Lawn tractor,Fire or explosion,Gasoline tank,Stop the engine and wait for it to cool off before refueling
Lawn tractor,Heat exposure,Working outdoors,Apply the procedure for avoiding heat strokes
Lawn tractor,General risks,Completing the task,Wear the personal protective equipment required by the employer
Lawn tractor,Exertion,Moving the tractor without the engine force,Ask a colleague for help
Leaf blower,General risks,Completing the task,Wear fitting clothing that fits and is suitable for the temperature
Leaf blower,Flying objects,Using the leaf blower,Use equipment only if it is equipped with safety mechanisms
Leaf blower,Flying objects,Using the leaf blower,"Check the general condition of the leaf blower components (air filter, ignition, spark arrestor, etc.)"
Leaf blower,Flying objects,Using the leaf blower,"Avoid blowing leaves perpendicular to a standing structure (wall, tree). Blow the leaves parallel to the structure to avoid ricochets of objects"
Leaf blower,Flying objects,Using the leaf blower,Make sure that the work area is free of any objects that may pose a flying hazard
Leaf blower,Flying objects,Using the leaf blower,Do not allow others to enter the work area
Leaf blower,Awkward postures,Using the leaf blower,Keep a proper posture and avoid twisting
Leaf blower,Fire or explosion,Gasoline tank,Stop the engine and wait for it to cool off before refueling
Leaf blower,Contact with a hot objet,Breakage or malfunction,Wait for the leaf blower to cool completely before making repairs or changing parts
Leaf blower,Inhalation of carbon monoxide,Using the leaf blower indoors,Use the leaf blower outdoors only
Leaf blower,Fire or explosion,Gasoline tank,Eliminate ignition sources in the vicinity
Leaf blower,Awkward postures,Using the leaf blower,Ask a colleague for help if you need to move heavy objects
Leaf blower,Tripping,Using the leaf blower,"Pay special attention when operating the leaf blower on a slope or an uneven terrain, as the engine force can unbalance you"
Leaf blower,Tripping,Using the leaf blower,Always work in a stable and balanced way
Leaf blower,Noise exposure,Using the leaf blower,Wear hearing protectors
Leaf blower,General risks,Completing the task,Comply with applicable safety measures
Leaf blower,General risks,Completing the task,Wear the personal protective equipment required by the employer
Leaf blower,General risks,Completing the task,Train workers on tasks and risks
Lifeguarding,General risks,Completing the task,Train workers on tasks and risks
Lifeguarding,General risks,Completing the task,Comply with applicable safety measures
Lifeguarding,General risks,Completing the task,"Attend a specific MANDATORY training course on swimming, first aid and CPR"
Lifeguarding,General risks,Completing the task,Wear appropriate clothing according to the weather
Lifeguarding,Exposure to heat Exposure to sunlight (sunstroke),Monitoring of a swimming pool or a water body,Apply the procedure for avoiding heat strokes
Lifeguarding,Exposure to heat Exposure to sunlight (sunstroke),Monitoring of a swimming pool or a water body,"Wear appropriate clothing (cap, sunglasses, etc.)"
Lifeguarding,Exposure to heat Exposure to sunlight (sunstroke),Monitoring of a swimming pool or a water body,Have an umbrella over your monitoring station
Lifeguarding,Exposure to heat Exposure to sunlight (sunstroke),Monitoring of a swimming pool or a water body,Use sunscreen
Lifeguarding,Exposure to heat Exposure to sunlight (sunstroke),Monitoring of a swimming pool or a water body,Drink a glass of water every 20 minutes and have on hand enough water supply to last the whole day
Lifeguarding,Falling from a height,Monitoring from the tower,Keep a 3-point contact when climbing up up or down
Lifeguarding,Tripping,Slipping on items left around the pool,Store equipment so that it is always off traffic lanes
Lifeguarding,Contact with a biological fluid,Cardiopulmonary resuscitation,Use a pocket mask or an appropriate protective barrier
Lifeguarding,Contact with a biological fluid,Cardiopulmonary resuscitation,Wear gloves
Lifeguarding,Chemical hazards,Maintenance of showers with bleach Handling of hydrochloric acid (chlorine),Consult the product’s safety data sheet for additional information
Lifeguarding,Contact with a biological fluid,Cardiopulmonary resuscitation,Adhere to the municipality’s vaccination program
Lifeguarding,Chemical hazards,Poor building ventilation,Comply with the Health and Safety Regulations regarding eligible chloramines
Lifeguarding,Chemical hazards,Maintenance of showers with bleach Handling of hydrochloric acid (chlorine),Wear the personal protective equipment required by the employer according to the produts used
Lifeguarding,Chemical hazards,Maintenance of showers with bleach Handling of hydrochloric acid (chlorine),Provide adequate general ventilation according to regulations
Loading dock,General risks,Completing the task,Wear the personal protective equipment required by the employer
Loading dock,General risks,Completing the task,Comply with applicable safety measures
Loading dock,General risks,Completing the task,Train workers on the task and its risks
Loading dock,Tripping,Moving around the dock,"Maintain the dock and its surroundings (inside and outside) clear, unobstructed and well lit"
Loading dock,Collision with pedestrians,Moving around the dock,"Maintain the dock and its surroundings (inside and outside) clear, unobstructed and well lit"
Loading dock,Tripping,Moving around the dock,Delimit the periphery of the work area in order to limit traffic during loading/unloading operations
Loading dock,Collision with pedestrians,Moving around the dock,Delimit the periphery of the work area in order to limit traffic during loading/unloading operations
Loading dock,Tripping inside the trailer,Moving around the trailer,Check the condition and the cleanliness of the trailer
Loading dock,Collapse of the trailer deck,Moving around the trailer,Check the condition and the cleanliness of the trailer
Loading dock,Tripping inside the trailer,Moving around the trailer,Make sure that the trailer deck can support the weight of the forklift and the load
Loading dock,Collapse of the trailer deck,Moving around the trailer,Make sure that the trailer deck can support the weight of the forklift and the load
Loading dock,Falling off the dock with the forklift,Unannounced departure of the truck,Ask the driver to hand you the keys to the truck or to wait outside the vehicle during loading and unloading
Loading dock,Falling off the dock with the forklift,Trailer skidding,Check that the truck is properly secured to the dock hooks or that wheel chocks are placed at the front of the wheels on both sides of the trailer
Loading dock,Falling off the dock with the forklift,Tipping of the trailer,Place one or two landing gears on the front of a trailer unattached a driver's cab
Lockout,General risks,Completing the task,Train workers on tasks and risks
Lockout,General risks,Completing the task,Comply with applicable safety measures
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Comply with applicable safety measures
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Train workers on tasks and risks
Lockout,General risks,Completing the task,Identify the equipment connected to an energy source to be locked out
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Identify the equipment connected to an energy source to be locked out
Lockout,General risks,Completing the task,Develop a lockout sheet for each equipment
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Develop a lockout sheet for each equipment
Lockout,General risks,Completing the task,Develop a lockout procedure for the whole organization
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Develop a lockout procedure for the whole organization
Lockout,General risks,Completing the task,Obtain all the necessary lockout equipment
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Obtain all the necessary lockout equipment
Lockout,General risks,Completing the task,Train workers on the procedure
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,Completing the task,Train workers on the procedure
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Notify the people involved in carrying out the work
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Stop and isolate the equipment at the energy isolation points; refer to the lockout sheet
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Fill out the lockout log
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Install the lockout devices at the energy isolation points
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Release potentially stored residual energy
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Try starting the machine to make sure that the lockout works
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Carry out the work while following the instructions laid out in the procedures
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Reactivate the equipment after completing the work according to the lockout sheet
Lockout,Contact with an energy source - electrical - pneumatic - hydraulic - mechanical - thermal - chemical - etc.,"equipment maintenance, repair or unlocking: -unexpected start of a machine or an equipment -getting stuck in the drive mechanism -release of residual energy",Restore the site to the state it was in before the work
Manual handling of loads,General risks,Completing the task,Train workers on tasks and risks
Manual handling of loads,General risks,Completing the task,Comply with applicable safety measures
Manual handling of loads,Muscular fatigue,Completing the task,Comply with applicable safety measures
Manual handling of loads,Load falling hazard,Completing the task,Comply with applicable safety measures
Manual handling of loads,Muscular fatigue,Completing the task,Train workers on tasks and risks
Manual handling of loads,Load falling hazard,Completing the task,Train workers on tasks and risks
Manual handling of loads,Overexertion,Handling heavy or bulky loads,Keep a proper posture and avoid twisting while lifting
Manual handling of loads,Wrong method of gripping and lifting loads,Handling heavy or bulky loads,Keep a proper posture and avoid twisting while lifting
Manual handling of loads,Awkward postures,Handling heavy or bulky loads,Keep a proper posture and avoid twisting while lifting
Manual handling of loads,Repetitive movements,Handling heavy or bulky loads,Keep a proper posture and avoid twisting while lifting
Manual handling of loads,Overexertion,Handling heavy or bulky loads,Ask a colleague for help
Manual handling of loads,Wrong method of gripping and lifting loads,Handling heavy or bulky loads,Ask a colleague for help
Manual handling of loads,Awkward postures,Handling heavy or bulky loads,Ask a colleague for help
Manual handling of loads,Repetitive movements,Handling heavy or bulky loads,Ask a colleague for help
Manual handling of loads,General risks,Completing the task,Use the tools and equipment provided to minimize effort
Manual handling of loads,Muscular fatigue,Completing the task,Use the tools and equipment provided to minimize effort
Manual handling of loads,Load falling hazard,Completing the task,Use the tools and equipment provided to minimize effort
Manual handling of loads,General risks,Completing the task,Balance and attach the load properly to the handling equipment
Manual handling of loads,Muscular fatigue,Completing the task,Balance and attach the load properly to the handling equipment
Manual handling of loads,Load falling hazard,Completing the task,Balance and attach the load properly to the handling equipment
Manual handling of loads,Overexertion,Handling heavy or bulky loads,Store heavier and frequently used loads at belt height
Manual handling of loads,Wrong method of gripping and lifting loads,Handling heavy or bulky loads,Store heavier and frequently used loads at belt height
Manual handling of loads,Awkward postures,Handling heavy or bulky loads,Store heavier and frequently used loads at belt height
Manual handling of loads,Repetitive movements,Handling heavy or bulky loads,Store heavier and frequently used loads at belt height
Manual handling of loads,Overexertion,Handling heavy or bulky loads,"When turning, move feet rather than twist body"
Manual handling of loads,Wrong method of gripping and lifting loads,Handling heavy or bulky loads,"When turning, move feet rather than twist body"
Manual handling of loads,Awkward postures,Handling heavy or bulky loads,"When turning, move feet rather than twist body"
Manual handling of loads,Repetitive movements,Handling heavy or bulky loads,"When turning, move feet rather than twist body"
Manual handling of loads,Overexertion,Handling heavy or bulky loads,Rotate workers between work areas
Manual handling of loads,Wrong method of gripping and lifting loads,Handling heavy or bulky loads,Rotate workers between work areas
Manual handling of loads,Awkward postures,Handling heavy or bulky loads,Rotate workers between work areas
Manual handling of loads,Repetitive movements,Handling heavy or bulky loads,Rotate workers between work areas
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface",Make sure that workspaces and passageways are unobstructed and clear
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface",Respect traffic and work areas
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface",Store equipment and tools in the appropriate locations
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface",Discard waste in a bin
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface",Report any surface problems to the supervisor to remedy the situation
Manual handling of loads,Tripping,"Walking on a slippery, uneven or congested surface","Repair and clean the floor: uneven surfaces, holes, slippery floors, etc."
Manual snow clearing of access roads,General risks,Completing the task,Train workers on tasks and risks
Manual snow clearing of access roads,General risks,Completing the task,Comply with applicable safety measures
Manual snow clearing of access roads,Being struck by equipment or materials,Circulation of equipment and materials in the work area,Restrict access to work area Limit the speed of the equipment Delimit the working area
Manual snow clearing of access roads,Being struck by equipment or materials,Circulation of equipment and materials in the work area,Wear a mesh bib
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,"Spread abrasives and de-icing salts as soon as possible • 0° to -10°: salt • -10° to -15°: calcium and salt • -15° and under: salt, sand and calcium"
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,"Spread abrasives and de-icing salts as soon as possible • 0° to -10°: salt • -10° to -15°: calcium and salt • -15° and under: salt, sand and calcium"
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,"Spread abrasives and de-icing salts as soon as possible • 0° to -10°: salt • -10° to -15°: calcium and salt • -15° and under: salt, sand and calcium"
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,Wear shoes or boots with removable non-slip soles
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,Wear shoes or boots with removable non-slip soles
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,Wear shoes or boots with removable non-slip soles
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,"Wear clothing suitable for the task at hand, preferably in cotton, to absorb moisture Take breaks indoors"
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,"Wear clothing suitable for the task at hand, preferably in cotton, to absorb moisture Take breaks indoors"
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,"Wear clothing suitable for the task at hand, preferably in cotton, to absorb moisture Take breaks indoors"
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,"Train workers on ergonomic working techniques (e.g., : limit the amount of snow shovelled, avoid twisting, etc.)"
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,"Train workers on ergonomic working techniques (e.g., : limit the amount of snow shovelled, avoid twisting, etc.)"
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,"Train workers on ergonomic working techniques (e.g., : limit the amount of snow shovelled, avoid twisting, etc.)"
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,Use equipment adapted to the task
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,Use equipment adapted to the task
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,Use equipment adapted to the task
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,Use a shovel that weighs no more than 3 kg (6.6 lbs.)
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,Use a shovel that weighs no more than 3 kg (6.6 lbs.)
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,Use a shovel that weighs no more than 3 kg (6.6 lbs.)
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,"Choose a shovel whose handle length and type, size and shape are appropriate for the task at hand: the scraper shovel is used to push snow while the scoop shovel is designed to lift the snow"
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,"Choose a shovel whose handle length and type, size and shape are appropriate for the task at hand: the scraper shovel is used to push snow while the scoop shovel is designed to lift the snow"
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,"Choose a shovel whose handle length and type, size and shape are appropriate for the task at hand: the scraper shovel is used to push snow while the scoop shovel is designed to lift the snow"
Manual snow clearing of access roads,Tripping,Manual snow clearing of access roads,"Use proper equipment to spread abrasives, if necessary"
Manual snow clearing of access roads,Exposure to cold,Manual snow clearing of access roads,"Use proper equipment to spread abrasives, if necessary"
Manual snow clearing of access roads,Ergonomic risks Awkward postures Exertion,Manual snow clearing of access roads,"Use proper equipment to spread abrasives, if necessary"
Meat slicer,General risks,Completing the task,Comply with applicable safety measures
Meat slicer,Awkward postures,Completing the task,Comply with applicable safety measures
Meat slicer,Blade cuts,Using the meat slicer,Use equipment only if it is equipped with guards or safety devices
Meat slicer,General risks,Completing the task,Train workers on the task and its risks
Meat slicer,Awkward postures,Completing the task,Train workers on the task and its risks
Meat slicer,Blade cuts,Equipment maintenance,Replace the hazardous product with a non-hazardous one
Meat slicer,Contact with a chemical product,Equipment maintenance,Replace the hazardous product with a non-hazardous one
Meat slicer,General risks,Completing the task,Wear the personal protective equipment required by the employer
Meat slicer,Awkward postures,Completing the task,Wear the personal protective equipment required by the employer
Meat slicer,General risks,Completing the task,Keep a proper posture and avoid twisting
Meat slicer,Awkward postures,Completing the task,Keep a proper posture and avoid twisting
Meat slicer,Blade cuts,Equipment maintenance,Consult the product’s safety data sheet for additional information
Meat slicer,Contact with a chemical product,Equipment maintenance,Consult the product’s safety data sheet for additional information
Meat slicer,Blade cuts,Equipment maintenance,Apply the de-energizing and lockout procedures
Meat slicer,Contact with a chemical product,Equipment maintenance,Apply the de-energizing and lockout procedures
Meat slicer,Blade cuts,Using the meat slicer,Lower the presser on the meat
Meat slicer,Blade cuts,Using the meat slicer,Use the handle to move the carriage when cutting
Meat slicer,Blade cuts,Using the meat slicer,Reposition the blade to the starting point after each use
Meat slicer,Blade cuts,Using the meat slicer,Use a brush to remove meat excess or residue
Meat slicer,Blade cuts,Equipment maintenance,Wear protective gloves when handling the blade
Meat slicer,Contact with a chemical product,Equipment maintenance,Wear protective gloves when handling the blade
Metalworking lathe,Projection of hot metal chips and cutting oil,Using the metalworking lathe,Install a transparent eye shield in front of the cutting area
Metalworking lathe,Noise exposure,Using the metalworking lathe,Install a transparent eye shield in front of the cutting area
Metalworking lathe,Getting stuck in the drive mechanism,Contact with the spindle,Use equipment only if it is equipped with an electrically-locked spindle guard
Metalworking lathe,Getting stuck in the drive mechanism,Contact with the lead screw,Use equipment only if it is equipped with a lead screw guard
Metalworking lathe,Getting stuck in the drive mechanism,Equipment maintenance,Apply the lockout procedure
Metalworking lathe,"Cuts by the sharp edges of the lathe parts, chips or tools",Installing the lathe parts,Wear gloves
Metalworking lathe,Getting stuck in the drive mechanism,Contact with the spindle,"Wear tight-fitting clothing, tie back long hair and avoid jewelry"
Metalworking lathe,General risks,Completing the task,Wear the personal protective equipment required by the employer
Metalworking lathe,Projection of hot metal chips and cutting oil,Using the metalworking lathe,Wear hearing protectors
Metalworking lathe,Noise exposure,Using the metalworking lathe,Wear hearing protectors
Metalworking lathe,Projection of hot metal chips and cutting oil,Using the metalworking lathe,Wear safety goggles
Metalworking lathe,Noise exposure,Using the metalworking lathe,Wear safety goggles
Metalworking lathe,General risks,Completing the task,Train workers on tasks and risks
Metalworking lathe,General risks,Completing the task,Comply with applicable safety measures
Musculoskeletal disorders,General risks,Shifting loads,Comply with applicable safety measures
Musculoskeletal disorders,General risks,Handling loads,Train workers on tasks and risks
Musculoskeletal disorders,Exertion,Pinching equipment,Ask a colleague for help
Musculoskeletal disorders,Exertion,Shifting heavy loads,"Use a mechanical aid (e.g., forklift, pallet jack, etc.)"
Musculoskeletal disorders,Muscular fatigue,Improper adjustment of the workstation,Adjust workstations ergonomically
Musculoskeletal disorders,Muscular fatigue,Driving on a seat not suited for long distances,Adjust workstations ergonomically
Musculoskeletal disorders,Muscular fatigue,Using of wheeled equipment not suitable for work,Perform a job safety analysis
Musculoskeletal disorders,Muscular fatigue,Exposure to vibrations,Synchronize vibratory breaks depending on the machines used
Musculoskeletal disorders,Exertion,Handling loads,Use appropriate methods for lifting compact loads
Musculoskeletal disorders,Repetitive movements,Repetitive rolling over of parts,Rotate tasks
Musculoskeletal disorders,Repetitive movements,Repetitive positioning of parts,Develop an equipment purchasing policy that takes safety into account
Musculoskeletal disorders,Repetitive movements,Repetitive positioning of parts,Mechanize the assembly line
Musculoskeletal disorders,Musculoskeletal fatigue caused by vibrations,"Using a jackhammer, a chainsaw, etc.",Wear anti-vibration gloves
Musculoskeletal disorders,Psychological fatigue,Increased workload Time pressure Additional requirements related to the task,Reduce time constraints and pace of work
Musculoskeletal disorders,Muscular fatigue,Using unsuitable tools,Adjust the height to minimize awkward positions
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Develop a buy-quiet noise purchasing policy
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Use belt-driven and power tools instead of pneumatic tools
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)","Move away and enclose noisy equipment to reduce noise (e.g., compressors)"
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Stop using equipment when not needed
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Prohibit radios
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Install noise barriers
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Inspect your compressed air lines and repair leaks
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Conduct a dosimetry or a sonometry at targeted workstations to reduce noise-emitting sources
Noise,Exposure to noise,"Various equipment (e.g., hammer drills, pneumatic tools, etc.)",Maintain equipment regularly
Noise,Impact by equipment or vehicle,Traffic,Activate the vehicle’s warning signals
Noise,Impact by equipment or vehicle,Traffic,Indicate traffic areas and guideways
Noise,General risks,Completing the task,Comply with applicable safety measures; “refer to page”
Noise,General risks,Completing the task,Train workers on tasks and risks
Order delivery,General risks,Completing the task,Train workers on the task and its risks
Order delivery,General risks,Completing the task,Comply with applicable safety measures
Order delivery,Pedestrian hit by a vehicle Car collision,Using a vehicle,Wear the seat belt
Order delivery,Falling from a height or tripping,Exiting the vehicle at the customer's premises,Wear suitable shoes (no sandals or high heels)
Order delivery,Falling from a height or tripping,"Poor condition of the premises (uneven flooring, poor condition of the staircase and the gallery, lack of guardrails on the gallery and no handrail in the stairs, etc.)","Perform a visual inspection of the premises before leaving the vehicle (snow, ice, poor general condition, etc.)"
Order delivery,Falling from a height or tripping,Poor weather conditions,Be vigilant
Order delivery,Being attacked by an animal,Presence of an unattached animal or attached near the entrance,"Make sure there are no unattached animals before exiting the vehicle (if necessary, honk, have the company call the customer, etc.)"
Order delivery,Pedestrian hit by a vehicle Car collision,Using a vehicle,Adjust your driving to the weather conditions
Order delivery,Pedestrian hit by a vehicle Car collision,Using a vehicle,Ensure the vehicle is properly maintained
Order delivery,Pedestrian hit by a vehicle Car collision,Using a vehicle,Report any breakage or defect in the delivery vehicle to your supervisor
Order delivery,Verbal or physical assault,"Negative responses to customers, the public Attempted robbery",Follow management procedures for handling difficult or aggressive customers
Pallet racks and pallets,General risks,Completing the task,Comply with applicable safety measures
Pallet racks and pallets,General risks,Completing the task,Train workers on tasks and risks
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Install guards on the pallet rack’s legs
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Display and observe the load capacity of the pallet rack
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Carry out an inspection of the pallet rack components
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Make sure that the workspace is clear and unobstructed
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Avoid moving around the pallet rack when the forklift is in use
Pallet racks and pallets,Collapse of the pallet rack,Using the pallet rack,Check that the pallets exceed the load beams by 5 to 10 cm
Pallet racks and pallets,Falling objects,Using the pallets,Use the appropriate pallet depending on the merchandise
Pallet racks and pallets,Falling objects,Using the pallets,Check the stability of the load on the pallet and distribute the weight evenly
Pallet racks and pallets,Falling objects,Using the pallets,Limit the height of the merchandise
Pallet racks and pallets,Falling objects,Using the pallets,Check that the merchandise does not overhang the pallet by more than 50 mm (2 in)
Pallet racks and pallets,Falling objects,Using the pallets,Hold down the merchandise with the help of sturdy packaging
Patient hygiene,Tripping,Completing the task,Keep workspaces clean and unobstructed
Patient hygiene,Tripping,Completing the task,Wear non-slip shoes
Patient hygiene,Contact with a biological fluid,Patient hygiene,Wear gloves
Patient hygiene,General risks,Completing the task,Wear the personal protective equipment required by the employer
Patient hygiene,Excessive strain or awkward postures,Moving patients,Keep a proper posture and avoid twisting
Patient hygiene,Muscular fatigue,Keeping a static standing posture,Keep a proper posture and avoid twisting
Patient hygiene,General risks,Completing the task,Comply with applicable safety measures
Patient hygiene,General risks,Completing the task,Train workers on tasks and risks
Patient hygiene,General risks,Completing the task,Attend a course on Moving Patients Safety Principles (MPSP)
Patient hygiene,Excessive strain or awkward postures,Moving patients,Use the equipment to move patients and technical assistance
Patient hygiene,Excessive strain or awkward postures,Moving patients,Ask for the patient’s help
Patient hygiene,Excessive strain or awkward postures,Moving patients,Have the necessary equipment available
Patient hygiene,Muscular fatigue,Keeping a static standing posture,Follow the principles of posture
Patient hygiene,Muscular fatigue,Keeping a static standing posture,Follow the principles of gripping
Patient hygiene,Contact with a biological fluid,Patient hygiene,Clean hands after completing tasks
Patient hygiene,Tripping,Completing the task,Wear the appropriate clothes for the task at hand
Patient hygiene,Contact with a biological fluid,Patient hygiene,Keep an up-to-date vaccination record
Pool maintenance and cleaning,Contact with chemicals and/or chemical reaction,Pool maintenance and cleaning,Use a plastic or metal measuring cup to measure the right amount of product
Pool maintenance and cleaning,Contact with chemicals and/or chemical reaction,Handling of chemicals,Dispose of chemicals in water unless otherwise specified on the MSDS
Pool maintenance and cleaning,Contact with chemicals and/or chemical reaction,Handling of chemicals,Store hazardous materials according to the Material Safety Data Sheet (MSDS)
Pool maintenance and cleaning,Tripping,Pool maintenance and cleaning,Carry out cleaning work when the pond is empty and the bottom is dry
Pool maintenance and cleaning,Falling from a height,Pool maintenance and cleaning,Carry out cleaning work when the pond is empty and the bottom is dry
Pool maintenance and cleaning,Awkward postures,Pool maintenance and cleaning,Carry out cleaning work when the pond is empty and the bottom is dry
Pool maintenance and cleaning,Tripping,Pool maintenance and cleaning,Install a guardrail around the deep end before carrying out cleaning and maintenance work
Pool maintenance and cleaning,Falling from a height,Pool maintenance and cleaning,Install a guardrail around the deep end before carrying out cleaning and maintenance work
Pool maintenance and cleaning,Awkward postures,Pool maintenance and cleaning,Install a guardrail around the deep end before carrying out cleaning and maintenance work
Pool maintenance and cleaning,Tripping,Pool maintenance and cleaning,"Use suitable cleaning accessories (telescopic handles, etc.)"
Pool maintenance and cleaning,Falling from a height,Pool maintenance and cleaning,"Use suitable cleaning accessories (telescopic handles, etc.)"
Pool maintenance and cleaning,Awkward postures,Pool maintenance and cleaning,"Use suitable cleaning accessories (telescopic handles, etc.)"
